fips,nameState,nameCounty,abState,SC,PVID,PR,CF,PM,abs_Resilience,rel_Resilience,Resistance,Recovery,CFend
1001,Alabama,Autauga County,AL,0.481109268728801,0.560983259811973,0.443379043,0.483440116370941,0.361128084168753,0.416193390094812,0.860899573703291,0.668052339986425,0.0433965386656188,0.473993082757043
1003,Alabama,Baldwin County,AL,0.502377616491326,0.493661390610344,0.6982571,0.508494206473076,0.3002920021722,0.457662997310504,0.900035814537321,0.72243732217927,0.0501213415998048,0.504928668316733
1005,Alabama,Barbour County,AL,0.42240832475407,0.324514936002252,0.501233137,0.4206520427173,0.361506554081378,0.376465792519018,0.894957718705344,0.739975932400024,0.0448172383509727,0.41538294995906
1007,Alabama,Bibb County,AL,0.396582359107154,0.484571407892393,0.422967629,0.392529029771941,0.389806179572503,0.33764757063812,0.860184967298579,0.676351474617916,0.0420158658710634,0.383874943708915
1009,Alabama,Blount County,AL,0.466796728045169,0.537791778780261,0.482462274,0.412418749204524,0.412407115657878,0.354691097783902,0.860026607587635,0.661308651257332,0.0439937157257824,0.404788216068278
1011,Alabama,Bullock County,AL,0.48093454038723,0.190243139754335,0.482462274,0.378499192165842,0.382287959847628,0.344514449716762,0.910211849450423,0.776183384845512,0.0449820048546073,0.374625864453064
1013,Alabama,Butler County,AL,0.391302835682841,0.354188748736164,0.501233137,0.423704653802429,0.354106368772128,0.377514835419441,0.890985812951383,0.732385305623391,0.0444846239016859,0.417971125723858
1015,Alabama,Calhoun County,AL,0.458745599192084,0.423942855055029,0.46319282,0.471203378560102,0.436996061992878,0.409914682658474,0.869931544020518,0.686200008087862,0.0438366482549563,0.4629761521692
1017,Alabama,Chambers County,AL,0.418900540898342,0.421735027470901,0.443379043,0.426895744973864,0.413674303927128,0.370994281477643,0.869051251612631,0.690449946166451,0.0429146876640475,0.418770426477496
1019,Alabama,Cherokee County,AL,0.369987247062125,0.446335967177482,0.501233137,0.413213108953435,0.419499973741128,0.359164383727771,0.869198909583106,0.684390552594704,0.0438611337427748,0.405931222590169
1021,Alabama,Chilton County,AL,0.422724378884051,0.452528023570574,0.482462274,0.39230755324486,0.377965952933753,0.342682802904194,0.873505493508323,0.69414635423822,0.0438815954420079,0.385749461197557
1023,Alabama,Choctaw County,AL,0.38506563610835,0.376063279818909,0.537432386,0.38463945720595,0.357964739435878,0.342357600156021,0.890074051796279,0.72593699842276,0.0451715213625694,0.379734484136233
1025,Alabama,Clarke County,AL,0.409112257522042,0.277998899931122,0.537432386,0.419790024685518,0.338109635952753,0.380718068174516,0.906925000087192,0.764205534871235,0.0457886264340519,0.415587641913971
