fips,nameState,nameCounty,abState,SC,PVID,PR,CF,PM,abs_Resilience,rel_Resilience,Resistance,Recovery,CFend
1001,Alabama,Autauga County,AL,0.572731684,0.576322416,0.443379043,0.476892441,0.455869013,0.262007271288847,0.549405376901009,0.110355783194152,0.0363844172787971,0.418281367848185
1003,Alabama,Baldwin County,AL,0.543193583,0.49239924,0.6982571,0.506818139,0.361800667,0.32020913853502,0.631802837930827,0.163222943973904,0.0427121214824944,0.474056418850983
1005,Alabama,Barbour County,AL,0.415451739,0.378272873,0.501233137,0.432134008,0.385742717,0.259355214380575,0.600173116623987,0.169533271469656,0.0387167008114764,0.389951060560863
1007,Alabama,Bibb County,AL,0.500688839,0.472239969,0.422967629,0.400442776,0.490261655,0.223374438888497,0.557818625471962,0.119837965901051,0.0367541393721608,0.352952218118424
1009,Alabama,Blount County,AL,0.487065882,0.515862652,0.482462274,0.434918059,0.363552498,0.252462772127945,0.580483534549999,0.140221581976292,0.0380888629861072,0.389470402147815
1011,Alabama,Bullock County,AL,0.426985133,0.333878016,0.482462274,0.388141591,0.483837686,0.230020873335562,0.592621040025474,0.154056966648434,0.0386677921923784,0.350134032108234
1013,Alabama,Butler County,AL,0.501469897,0.41715419,0.501233137,0.41592196,0.469286188,0.244593308057333,0.588075003438945,0.140443148730247,0.0388618661588141,0.37597092922215
1015,Alabama,Calhoun County,AL,0.567084213,0.459014976,0.46319282,0.447683547,0.482838506,0.255222457210832,0.570095682365633,0.126869172588811,0.0376164245999799,0.399445273878423
1017,Alabama,Chambers County,AL,0.489546656,0.43319991,0.443379043,0.402388489,0.472314476,0.229510922722231,0.570371491720856,0.131828992697968,0.0374273164597912,0.357820288091771
1019,Alabama,Cherokee County,AL,0.393446235,0.416091329,0.501233137,0.408646608,0.424954077,0.240719676879063,0.58906564294561,0.149798280539567,0.038581327397394,0.367300827411669
1021,Alabama,Chilton County,AL,0.488331948,0.477025267,0.482462274,0.420397207,0.415728707,0.244087618770761,0.580611894433353,0.137508695051782,0.0382326323412794,0.377150213784686
1023,Alabama,Choctaw County,AL,0.409488368,0.414993761,0.537432386,0.415030597,0.424391868,0.248625613244609,0.599053696382315,0.153260653529071,0.0394920516719483,0.376759037464102
1025,Alabama,Clarke County,AL,0.578235393,0.397525782,0.537432386,0.417851011,0.416050182,0.256198628312905,0.613133919910284,0.160771144291197,0.0404716348399029,0.385241476975972
