fips,nameState,nameCounty,abState,SC,PVID,PR,CF,PM,abs_Resilience,rel_Resilience,Resistance,Recovery,CFend
1001,Alabama,Autauga County,AL,0.521776968194382,0.560222888668584,0.443379043,0.485933434811613,0.361128084168753,0.419290533845218,0.862855905372654,0.669397165694947,0.0438152472131641,0.476993293688296
1003,Alabama,Baldwin County,AL,0.521229828672142,0.493120850865512,0.6982571,0.509361930887666,0.3002920021722,0.458765390804546,0.900666820555386,0.723031358482665,0.0503045918573822,0.505897938635155
1005,Alabama,Barbour County,AL,0.462785282103399,0.33648933420524,0.501233137,0.41867635030986,0.361506554081378,0.374516838718276,0.894525899160766,0.736982409350448,0.0451327069970033,0.413591553492487
1007,Alabama,Bibb County,AL,0.42319063759863,0.483305292160783,0.422967629,0.390020468738501,0.389806179572503,0.335939020668151,0.861336897919043,0.677258368648931,0.0422377732336382,0.381696589560471
1009,Alabama,Blount County,AL,0.525192658167329,0.525750344368381,0.482462274,0.415591385010453,0.412407115657878,0.35896920705078,0.863755169135065,0.666040759618661,0.0445241874956288,0.408550049985364
1011,Alabama,Bullock County,AL,0.38459669380043,0.20278236030497,0.482462274,0.375840900480083,0.382287959847628,0.340509317068717,0.905993245103885,0.770290196334219,0.0441469923235271,0.371421854259849
1013,Alabama,Butler County,AL,0.396712330149604,0.365969194626804,0.501233137,0.422083133833303,0.354106368772128,0.375458030043535,0.88953573347903,0.728795897068034,0.044495963675536,0.416298107105517
1015,Alabama,Calhoun County,AL,0.551155412636239,0.425317524776804,0.46319282,0.470725860548622,0.436996061992878,0.411161359310746,0.873462441242436,0.688094082307417,0.0447284473064447,0.463499353348807
1017,Alabama,Chambers County,AL,0.512959581169481,0.426297134615867,0.443379043,0.422955503223707,0.413674303927128,0.368783021574236,0.871919194249569,0.691179629195487,0.0437333220370691,0.41576322217481
1019,Alabama,Cherokee County,AL,0.434360719068078,0.442432858205231,0.501233137,0.411696777766416,0.419499973741128,0.35899158923129,0.871980565840063,0.686900802932966,0.0444171084013392,0.405032869140606
